,orig_index,Bank Group,Bank Address,CAddr,RAddr
2189,2629,0,2,250,F73
2190,2630,1,0,0,C58
2191,2632,0,2,250,F73
2192,2633,1,0,0,C58
2193,2634,0,2,250,F73
2194,2635,0,2,250,F73
2195,2636,1,0,0,C58
2196,2638,0,2,250,F73
2197,2639,1,0,0,C58
2198,2640,0,2,250,F73
2199,2641,0,2,250,F73
2200,2642,1,0,0,C58
2201,2644,0,2,250,F73
2202,2645,1,0,0,C58
2203,2646,0,2,250,F73
2204,2647,0,2,250,F73
2205,2648,1,0,0,C58
2206,2650,0,2,250,F73
2207,2651,1,0,0,C58
2208,2652,0,2,250,F73
2209,2653,0,2,250,F73
2210,2654,1,0,0,C58
2211,2656,0,2,250,F73
2212,2657,1,0,0,C58
2213,2658,0,2,250,F73
2214,2659,0,2,250,F73
2215,2660,1,0,0,C58
2216,2662,0,2,250,F73
2217,2663,1,0,0,C58
2218,2664,0,2,250,F73
2219,2665,0,2,250,F73
2220,2666,1,0,0,C58
2221,2668,0,2,250,F73
2222,2669,1,0,0,C58
2223,2670,0,2,250,F73
2224,2671,0,2,250,F73
2225,2672,1,0,0,C58
2226,2674,0,2,250,F73
2227,2675,1,0,0,C58
2228,2676,0,2,250,F73
2229,2677,0,2,250,F73
2230,2678,1,0,0,C58
2231,2680,0,2,250,F73
2232,2681,1,0,0,C58
2233,2682,0,2,250,F73
2234,2683,0,2,250,F73
2235,2684,1,0,0,C58
2236,2686,0,2,250,F73
2237,2687,1,0,0,C58
2238,2688,0,2,250,F73
2239,2689,0,2,250,F73
2240,2690,1,0,0,C58
2241,2692,0,2,250,F73
2242,2693,1,0,0,C58
2243,2694,0,2,250,F73
2244,2695,0,2,250,F73
2245,2696,1,0,0,C58
2246,2698,0,2,250,F73
2247,2699,1,0,0,C58
2248,2700,0,2,250,F73
2249,2701,0,2,250,F73
2250,2702,1,0,0,C58
2251,2704,0,2,250,F73
2252,2705,1,0,0,C58
2253,2706,0,2,250,F73
2254,2707,0,2,250,F73
2255,2708,1,0,0,C58
2256,2710,0,2,250,F73
2257,2711,1,0,0,C58
2258,2712,0,2,250,F73
2259,2713,0,2,250,F73
2260,2714,1,0,0,C58
2261,2716,0,2,250,F73
2262,2717,1,0,0,C58
2263,2718,0,2,250,F73
2264,2719,0,2,250,F73
2265,2720,1,0,0,C58
2266,2722,0,2,250,F73
2267,2723,1,0,0,C58
2268,2724,0,2,250,F73
2269,2725,0,2,250,F73
2270,2726,1,0,0,C58
2271,2728,0,2,250,F73
2272,2729,1,0,0,C58
2273,2730,0,2,250,F73
2274,2731,0,2,250,F73
2275,2732,1,0,0,C58
2276,2734,0,2,250,F73
2277,2735,1,0,0,C58
2278,2736,0,2,250,F73
2279,2737,0,2,250,F73
2280,2738,1,0,0,C58
2281,2740,0,2,250,F73
2282,2741,1,0,0,C58
2283,2742,0,2,250,F73
2284,2743,0,2,250,F73
2285,2744,1,0,0,C58
2286,2746,0,2,250,F73
2287,2747,1,0,0,C58
2288,2748,0,2,250,F73
2289,2749,0,2,250,F73
2290,2750,1,0,0,C58
2291,2752,0,2,250,F73
2292,2753,1,0,0,C58
2293,2754,0,2,250,F73
2294,2755,0,2,250,F73
2295,2756,1,0,0,C58
2296,2758,0,2,250,F73
2297,2759,1,0,0,C58
2298,2760,0,2,250,F73
2299,2761,0,2,250,F73
2300,2762,1,0,0,C58
2301,2764,0,2,250,F73
2302,2765,1,0,0,C58
2303,2766,0,2,250,F73
2304,2767,0,2,250,F73
2305,2768,1,0,0,C58
2306,2770,0,2,250,F73
2307,2771,1,0,0,C58
2308,2772,0,2,250,F73
2309,2773,0,2,250,F73
2310,2774,1,0,0,C58
2311,2776,0,2,250,F73
2312,2777,1,0,0,C58
2313,2778,0,2,250,F73
2314,2779,0,2,250,F73
2315,2780,1,0,0,C58
2316,2782,0,2,250,F73
2317,2783,1,0,0,C58
2318,2784,0,2,250,F73
2319,2785,0,2,250,F73
2320,2786,1,0,0,C58
2321,2788,0,2,250,F73
2322,2789,1,0,0,C58
2323,2790,0,2,250,F73
2324,2791,0,2,250,F73
2325,2792,1,0,0,C58
2326,2794,0,2,250,F73
2327,2795,1,0,0,C58
2328,2796,0,2,250,F73
2329,2797,0,2,250,F73
2330,2798,1,0,0,C58
2331,2800,0,2,250,F73
2332,2801,1,0,0,C58
2333,2802,0,2,250,F73
2334,2803,0,2,250,F73
2335,2804,1,0,0,C58
2336,2806,0,2,250,F73
2337,2807,1,0,0,C58
2338,2808,0,2,250,F73
2339,2809,0,2,250,F73
2340,2810,1,0,0,C58
2341,2812,0,2,250,F73
2342,2813,1,0,0,C58
2343,2814,0,2,250,F73
2344,2815,0,2,250,F73
2345,2816,1,0,0,C58
2346,2818,0,2,250,F73
2347,2819,1,0,0,C58
2348,2820,0,2,250,F73
2349,2821,0,2,250,F73
2350,2822,1,0,0,C58
2351,2824,0,2,250,F73
2352,2825,1,0,0,C58
2353,2826,0,2,250,F73
2354,2827,0,2,250,F73
2355,2828,1,0,0,C58
2356,2830,0,2,250,F73
2357,2831,1,0,0,C58
2358,2832,0,2,250,F73
2359,2833,0,2,250,F73
2360,2834,1,0,0,C58
2361,2836,0,2,250,F73
2362,2837,1,0,0,C58
2363,2838,0,2,250,F73
2364,2839,0,2,250,F73
2365,2840,1,0,0,C58
2366,2842,0,2,250,F73
2367,2843,1,0,0,C58
2368,2844,0,2,250,F73
2369,2845,0,2,250,F73
2370,2846,1,0,0,C58
2371,2848,0,2,250,F73
2372,2849,1,0,0,C58
2373,2850,0,2,250,F73
2374,2851,0,2,250,F73
2375,2852,1,0,0,C58
2376,2854,0,2,250,F73
2377,2855,1,0,0,C58
2378,2856,0,2,250,F73
2379,2857,0,2,250,F73
2380,2858,1,0,0,C58
2381,2860,0,2,250,F73
2382,2861,1,0,0,C58
2383,2862,0,2,250,F73
2384,2863,0,2,250,F73
2385,2864,1,0,0,C58
2386,2866,0,2,250,F73
2387,2867,1,0,0,C58
2388,2868,0,2,250,F73
2389,2869,0,2,250,F73
2390,2870,1,0,0,C58
2391,2872,0,2,250,F73
2392,2873,1,0,0,C58
2393,2874,0,2,250,F73
2394,2875,1,0,0,C58
2395,2877,0,2,250,F73
2396,2878,1,0,0,C58
2397,2879,0,2,250,F73
2398,2880,0,2,250,F73
2399,2881,1,0,0,C58
2400,2883,0,2,250,F73
2401,2884,1,0,0,C58
2402,2885,0,2,250,F73
2403,2886,0,2,250,F73
2404,2887,1,0,0,C58
2405,2889,0,2,250,F73
2406,2890,1,0,0,C58
2407,2891,0,2,250,F73
2408,2892,0,2,250,F73
2409,2893,1,0,0,C58
2410,2895,0,2,250,F73
2411,2896,1,0,0,C58
2412,2897,0,2,250,F73
2413,2898,0,2,250,F73
2414,2899,1,0,0,C58
2415,2901,0,2,250,F73
2416,2902,1,0,0,C58
2417,2903,0,2,250,F73
2418,2904,0,2,250,F73
2419,2905,1,0,0,C58
2420,2907,0,2,250,F73
2421,2908,1,0,0,C58
2422,2909,0,2,250,F73
2423,2910,0,2,250,F73
2424,2911,1,0,0,C58
2425,2913,0,2,250,F73
2426,2914,1,0,0,C58
2427,2915,0,2,250,F73
2428,2916,0,2,250,F73
2429,2917,1,0,0,C58
2430,2919,0,2,250,F73
2431,2920,1,0,0,C58
2432,2921,0,2,250,F73
2433,2922,0,2,250,F73
2434,2923,1,0,0,C58
2435,2925,0,2,250,F73
2436,2926,1,0,0,C58
2437,2927,0,2,250,F73
2438,2928,0,2,250,F73
2439,2929,1,0,0,C58
2440,2931,0,2,250,F73
2441,2932,1,0,0,C58
2442,2933,0,2,250,F73
2443,2934,0,2,250,F73
2444,2935,1,0,0,C58
2445,2937,0,2,250,F73
2446,2938,1,0,0,C58
2447,2939,0,2,250,F73
2448,2940,0,2,250,F73
2449,2941,1,0,0,C58
2450,2943,0,2,250,F73
2451,2944,1,0,0,C58
2452,2945,0,2,250,F73
2453,2946,0,2,250,F73
2454,2947,1,0,0,C58
2455,2949,0,2,250,F73
2456,2950,1,0,0,C58
2457,2951,0,2,250,F73
2458,2952,0,2,250,F73
2459,2953,1,0,0,C58
2460,2955,0,2,250,F73
2461,2956,1,0,0,C58
2462,2957,0,2,250,F73
2463,2958,0,2,250,F73
2464,2959,1,0,0,C58
2465,2961,0,2,250,F73
2466,2962,1,0,0,C58
2467,2963,0,2,250,F73
2468,2964,0,2,250,F73
2469,2965,1,0,0,C58
2470,2967,0,2,250,F73
2471,2968,1,0,0,C58
2472,2969,0,2,250,F73
2473,2970,0,2,250,F73
2474,2971,1,0,0,C58
2475,2973,0,2,250,F73
2476,2974,1,0,0,C58
2477,2975,0,2,250,F73
2478,2976,0,2,250,F73
2479,2977,1,0,0,C58
2480,2979,0,2,250,F73
2481,2980,1,0,0,C58
2482,2981,0,2,250,F73
2483,2982,0,2,250,F73
2484,2983,1,0,0,C58
2485,2985,0,2,250,F73
2486,2986,1,0,0,C58
2487,2987,0,2,250,F73
2488,2988,0,2,250,F73
2489,2989,1,0,0,C58
2490,2991,0,2,250,F73
2491,2992,1,0,0,C58
2492,2993,0,2,250,F73
2493,2994,0,2,250,F73
2494,2995,1,0,0,C58
2495,2997,0,2,250,F73
2496,2998,1,0,0,C58
2497,2999,0,2,250,F73
2498,3000,0,2,250,F73
2499,3001,1,0,0,C58
2500,3003,0,2,250,F73
2501,3004,1,0,0,C58
2502,3005,0,2,250,F73
2503,3006,0,2,250,F73
2504,3007,1,0,0,C58
2505,3009,0,2,250,F73
2506,3010,1,0,0,C58
2507,3011,0,2,250,F73
2508,3012,0,2,250,F73
2509,3013,1,0,0,C58
2510,3015,0,2,250,F73
2511,3016,1,0,0,C58
2512,3017,0,2,250,F73
2513,3018,0,2,250,F73
2514,3019,1,0,0,C58
2515,3021,0,2,250,F73
2516,3022,1,0,0,C58
2517,3023,0,2,250,F73
2518,3024,0,2,250,F73
2519,3025,1,0,0,C58
2520,3027,0,2,250,F73
2521,3028,1,0,0,C58
2522,3029,0,2,250,F73
2523,3030,0,2,250,F73
2524,3031,1,0,0,C58
2525,3033,0,2,250,F73
2526,3034,1,0,0,C58
2527,3035,0,2,250,F73
2528,3036,0,2,250,F73
2529,3037,1,0,0,C58
2530,3039,0,2,250,F73
2531,3040,1,0,0,C58
2532,3041,0,2,250,F73
2533,3042,0,2,250,F73
2534,3043,1,0,0,C58
2535,3045,0,2,250,F73
2536,3046,1,0,0,C58
2537,3047,0,2,250,F73
2538,3048,0,2,250,F73
2539,3049,1,0,0,C58
2540,3051,0,2,250,F73
2541,3052,1,0,0,C58
2542,3053,0,2,250,F73
2543,3054,0,2,250,F73
2544,3055,1,0,0,C58
2545,3057,0,2,250,F73
2546,3058,1,0,0,C58
2547,3059,0,2,250,F73
2548,3060,0,2,250,F73
2549,3061,1,0,0,C58
2550,3063,0,2,250,F73
2551,3064,1,0,0,C58
2552,3065,0,2,250,F73
2553,3066,0,2,250,F73
2554,3067,1,0,0,C58
2555,3069,0,2,250,F73
2556,3070,1,0,0,C58
2557,3071,0,2,250,F73
2558,3072,0,2,250,F73
2559,3073,1,0,0,C58
2560,3075,0,2,250,F73
2561,3076,1,0,0,C58
2562,3077,0,2,250,F73
2563,3078,0,2,250,F73
2564,3079,1,0,0,C58
2565,3081,0,2,250,F73
2566,3082,1,0,0,C58
2567,3083,0,2,250,F73
2568,3084,0,2,250,F73
2569,3085,1,0,0,C58
2570,3087,0,2,250,F73
2571,3088,1,0,0,C58
2572,3089,0,2,250,F73
2573,3090,0,2,250,F73
2574,3091,1,0,0,C58
2575,3093,0,2,250,F73
2576,3094,1,0,0,C58
2577,3095,0,2,250,F73
2578,3096,0,2,250,F73
2579,3097,1,0,0,C58
2580,3099,0,2,250,F73
2581,3100,1,0,0,C58
2582,3101,0,2,250,F73
2583,3102,0,2,250,F73
2584,3103,1,0,0,C58
2585,3105,0,2,250,F73
2586,3106,1,0,0,C58
2587,3107,0,2,250,F73
2588,3108,0,2,250,F73
2589,3109,1,0,0,C58
2590,3111,0,2,250,F73
2591,3112,1,0,0,C58
2592,3113,0,2,250,F73
2593,3114,0,2,250,F73
2594,3115,1,0,0,C58
2595,3117,0,2,250,F73
2596,3118,1,0,0,C58
2597,3119,0,2,250,F73
2598,3120,0,2,250,F73
2599,3121,1,0,0,C58
2600,3123,0,2,250,F73
2601,3124,1,0,0,C58
2602,3125,0,2,250,F73
2603,3126,0,2,250,F73
2604,3127,1,0,0,C58
2605,3129,0,2,250,F73
2606,3130,1,0,0,C58
2607,3131,0,2,250,F73
2608,3132,0,2,250,F73
2609,3133,1,0,0,C58
2610,3135,0,2,250,F73
2611,3136,1,0,0,C58
2612,3137,0,2,250,F73
2613,3138,0,2,250,F73
2614,3139,1,0,0,C58
2615,3141,0,2,250,F73
2616,3142,1,0,0,C58
2617,3143,0,2,250,F73
2618,3144,0,2,250,F73
2619,3145,1,0,0,C58
2620,3147,0,2,250,F73
2621,3148,1,0,0,C58
2622,3149,0,2,250,F73
2623,3150,0,2,250,F73
2624,3151,1,0,0,C58
2625,3153,0,2,250,F73
2626,3154,1,0,0,C58
2627,3155,0,2,250,F73
2628,3156,0,2,250,F73
2629,3157,1,0,0,C58
2630,3159,0,2,250,F73
2631,3160,1,0,0,C58
2632,3161,0,2,250,F73
2633,3162,0,2,250,F73
2634,3163,1,0,0,C58
2635,3165,0,2,250,F73
2636,3167,1,0,0,C58
2637,3168,0,2,250,F73
2638,3169,0,2,250,F73
2639,3170,1,0,0,C58
2640,3173,0,2,250,F73
2641,3174,1,0,0,C58
2642,3175,0,2,250,F73
2643,3177,0,2,250,F73
2644,3178,1,0,0,C58
2645,3182,0,2,250,F73
2646,3185,1,0,0,C58
2647,3186,0,2,250,F73
2648,3189,0,2,250,F73
2649,3191,1,0,0,C58
2650,3194,0,2,250,F73
2651,3196,1,0,0,C58
2652,3199,0,2,250,F73
2653,3200,0,2,250,F73
2654,3201,1,0,0,C58
2655,3204,0,2,250,F73
2656,3206,1,0,0,C58
2657,3207,0,2,250,F73
2658,3210,0,2,250,F73
2659,3211,1,0,0,C58
2660,3215,0,2,250,F73
2661,3216,1,0,0,C58
2662,3219,0,2,250,F73
2663,3220,0,2,250,F73
2664,3223,1,0,0,C58
2665,3226,1,0,0,C58
2666,3227,0,2,250,F73
2667,3229,0,2,250,F73
2668,3231,0,2,250,F73
2669,3232,1,0,0,C58
2670,3235,0,2,250,F73
2671,3236,1,0,0,C58
2672,3238,0,2,250,F73
2673,3239,0,2,250,F73
2674,3242,1,0,0,C58
2675,3245,0,2,250,F73
2676,3246,1,0,0,C58
2677,3248,0,2,250,F73
2678,3250,0,2,250,F73
2679,3251,1,0,0,C58
2680,3255,0,2,250,F73
2681,3258,1,0,0,C58
2682,3259,0,2,250,F73
2683,3261,0,2,250,F73
2684,3263,1,0,0,C58
2685,3266,0,2,250,F73
2686,3267,1,0,0,C58
2687,3270,0,2,250,F73
2688,3271,0,2,250,F73
2689,3273,1,0,0,C58
2690,3276,0,2,250,F73
2691,3279,1,0,0,C58
2692,3280,0,2,250,F73
2693,3282,0,2,250,F73
2694,3283,1,0,0,C58
2695,3287,0,2,250,F73
2696,3288,1,0,0,C58
2697,3291,0,2,250,F73
2698,3292,0,2,250,F73
2699,3295,1,0,0,C58
2700,3298,0,2,250,F73
2701,3299,1,0,0,C58
2702,3302,0,2,250,F73
2703,3303,0,2,250,F73
2704,3306,1,0,0,C58
2705,3310,0,2,250,F73
2706,3311,1,0,0,C58
2707,3314,0,2,250,F73
2708,3315,0,2,250,F73
2709,3317,1,0,0,C58
2710,3320,0,2,250,F73
2711,3323,1,0,0,C58
2712,3324,0,2,250,F73
2713,3327,0,2,250,F73
2714,3328,1,0,0,C58
2715,3331,0,2,250,F73
2716,3333,1,0,0,C58
2717,3334,0,2,250,F73
2718,3336,0,2,250,F73
2719,3337,1,0,0,C58
2720,3341,0,2,250,F73
2721,3344,1,0,0,C58
2722,3345,0,2,250,F73
2723,3347,0,2,250,F73
2724,3349,1,0,0,C58
2725,3353,0,2,250,F73
2726,3354,1,0,0,C58
2727,3357,0,2,250,F73
2728,3358,0,2,250,F73
2729,3360,1,0,0,C58
2730,3364,0,2,250,F73
2731,3365,1,0,0,C58
2732,3368,0,2,250,F73
2733,3369,0,2,250,F73
2734,3371,1,0,0,C58
2735,3374,0,2,250,F73
2736,3376,1,0,0,C58
2737,3377,0,2,250,F73
2738,3379,0,2,250,F73
2739,3380,1,0,0,C58
2740,3384,0,2,250,F73
2741,3385,1,0,0,C58
2742,3388,0,2,250,F73
2743,3389,0,2,250,F73
2744,3391,1,0,0,C58
2745,3395,0,2,250,F73
2746,3396,1,0,0,C58
2747,3398,0,2,250,F73
2748,3399,1,0,0,C58
2749,3403,0,2,250,F73
2750,3406,1,0,0,C58
2751,3407,0,2,250,F73
2752,3410,0,2,250,F73
2753,3411,1,0,0,C58
2754,3415,0,2,250,F73
2755,3416,1,0,0,C58
2756,3418,0,2,250,F73
2757,3419,0,2,250,F73
2758,3421,1,0,0,C58
2759,3424,0,2,250,F73
2760,3425,1,0,0,C58
2761,3428,0,2,250,F73
2762,3429,0,2,250,F73
2763,3431,1,0,0,C58
2764,3432,1,0,0,C58
2765,3437,0,2,250,F73
2766,3438,1,0,0,C58
2767,3441,0,2,250,F73
2768,3443,0,2,250,F73
2769,3445,1,0,0,C58
2770,3449,0,2,250,F73
2771,3450,1,0,0,C58
2772,3452,0,2,250,F73
2773,3453,0,2,250,F73
2774,3455,1,0,0,C58
2775,3458,0,2,250,F73
2776,3459,1,0,0,C58
2777,3462,0,2,250,F73
2778,3463,0,2,250,F73
2779,3465,1,0,0,C58
2780,3468,0,2,250,F73
2781,3470,1,0,0,C58
2782,3471,0,2,250,F73
2783,3473,0,2,250,F73
2784,3474,1,0,0,C58
2785,3478,0,2,250,F73
2786,3479,1,0,0,C58
2787,3481,0,2,250,F73
2788,3482,0,2,250,F73
2789,3485,1,0,0,C58
2790,3489,0,2,250,F73
2791,3490,1,0,0,C58
2792,3492,0,2,250,F73
2793,3494,0,2,250,F73
2794,3495,1,0,0,C58
2795,3499,0,2,250,F73
2796,3502,1,0,0,C58
2797,3503,0,2,250,F73
2798,3506,0,2,250,F73
2799,3507,1,0,0,C58
2800,3511,0,2,250,F73
2801,3512,1,0,0,C58
2802,3513,1,0,0,C58
2803,3515,0,2,250,F73
2804,3516,0,2,250,F73
2805,3518,1,0,0,C58
2806,3521,0,2,250,F73
2807,3522,1,0,0,C58
2808,3523,0,2,250,F73
2809,3525,0,2,250,F73
2810,3526,1,0,0,C58
2811,3530,0,2,250,F73
2812,3533,1,0,0,C58
2813,3534,0,2,250,F73
2814,3536,0,2,250,F73
2815,3538,1,0,0,C58
2816,3542,0,2,250,F73
2817,3543,1,0,0,C58
2818,3545,0,2,250,F73
2819,3548,0,2,250,F73
2820,3549,1,0,0,C58
2821,3553,0,2,250,F73
2822,3556,1,0,0,C58
2823,3557,0,2,250,F73
2824,3560,0,2,250,F73
2825,3561,1,0,0,C58
2826,3565,0,2,250,F73
2827,3566,1,0,0,C58
2828,3569,0,2,250,F73
2829,3570,0,2,250,F73
2830,3573,1,0,0,C58
2831,3578,1,0,0,C58
2832,3581,0,2,250,F73
2833,3583,0,2,250,F73
2834,3585,1,0,0,C58
2835,3589,0,2,250,F73
2836,3590,1,0,0,C58
2837,3592,0,2,250,F73
2838,3593,0,2,250,F73
2839,3596,1,0,0,C58
2840,3600,0,2,250,F73
2841,3601,1,0,0,C58
2842,3603,0,2,250,F73
2843,3605,0,2,250,F73
2844,3606,1,0,0,C58
2845,3610,0,2,250,F73
2846,3611,1,0,0,C58
2847,3614,0,2,250,F73
2848,3616,0,2,250,F73
2849,3618,1,0,0,C58
2850,3622,0,2,250,F73
2851,3623,1,0,0,C58
2852,3625,0,2,250,F73
2853,3627,0,2,250,F73
2854,3628,1,0,0,C58
2855,3632,0,2,250,F73
2856,3635,1,0,0,C58
2857,3636,0,2,250,F73
2858,3638,0,2,250,F73
2859,3639,1,0,0,C58
2860,3642,0,2,250,F73
2861,3643,1,0,0,C58
2862,3646,0,2,250,F73
2863,3647,0,2,250,F73
2864,3650,1,0,0,C58
2865,3653,0,2,250,F73
2866,3655,1,0,0,C58
2867,3656,0,2,250,F73
2868,3659,0,2,250,F73
2869,3660,1,0,0,C58
2870,3664,0,2,250,F73
2871,3665,1,0,0,C58
2872,3667,0,2,250,F73
2873,3668,0,2,250,F73
2874,3669,1,0,0,C58
2875,3671,0,2,250,F73
2876,3672,1,0,0,C58
2877,3673,0,2,250,F73
2878,3674,0,2,250,F73
2879,3675,1,0,0,C58
2880,3677,0,2,250,F73
2881,3678,1,0,0,C58
2882,3679,0,2,250,F73
2883,3680,0,2,250,F73
2884,3681,1,0,0,C58
2885,3683,0,2,250,F73
2886,3684,1,0,0,C58
2887,3685,0,2,250,F73
2888,3686,0,2,250,F73
